mgrs,date,datetime,ID,cloud_percent,selected_due_to_high_nodata_clouds,nodata_perc,EI_region,geometry,inside_val_regions,inside_hassi,inside_marcellus,inside_permian
13RFQ,2018-01-06,2018-01-06T17:37:09.027000+00:00,S2B_MSIL2A_20180106T173709_N0212_R055_T13RFQ_20201014T034946,74.285617,False,0.0,USA,"POLYGON Z ((-103.9455247432 31.63119262920001 0, -102.7882538335 31.6163885677 0, -102.8111066834 30.626390258 0, -103.9564283398 30.6406301409 0, -103.9455247432 31.63119262920001 0))",True,False,False,True
13RFQ,2018-01-21,2018-01-21T17:36:31.026000+00:00,S2A_MSIL2A_20180121T173631_N0212_R055_T13RFQ_20201014T073101,3.91083,True,0.001,USA,"POLYGON Z ((-103.9455247432 31.63119262920001 0, -102.7882538335 31.6163885677 0, -102.8111066834 30.626390258 0, -103.9564283398 30.6406301409 0, -103.9455247432 31.63119262920001 0))",True,False,False,True
13RFQ,2020-10-22,2020-10-22T17:33:59.024000+00:00,S2B_MSIL2A_20201022T173359_N0212_R055_T13RFQ_20201023T151540,0.146622,False,0.001,USA,"POLYGON Z ((-103.9455247432 31.63119262920001 0, -102.7882538335 31.6163885677 0, -102.8111066834 30.626390258 0, -103.9564283398 30.6406301409 0, -103.9455247432 31.63119262920001 0))",True,False,False,True
13RFQ,2023-06-29,2023-06-29T17:28:59.024000+00:00,S2B_MSIL2A_20230629T172859_N0509_R055_T13RFQ_20230630T001204,0.007867,False,0.001,USA,"POLYGON Z ((-103.9455247432 31.63119262920001 0, -102.7882538335 31.6163885677 0, -102.8111066834 30.626390258 0, -103.9564283398 30.6406301409 0, -103.9455247432 31.63119262920001 0))",True,False,False,True
13RFQ,2024-12-30,2024-12-30T17:36:39.024000+00:00,S2B_MSIL2A_20241230T173639_N0511_R055_T13RFQ_20241230T212814,17.139708,False,0.0,USA,"POLYGON Z ((-103.9455247432 31.63119262920001 0, -102.7882538335 31.6163885677 0, -102.8111066834 30.626390258 0, -103.9564283398 30.6406301409 0, -103.9455247432 31.63119262920001 0))",True,False,False,True
13RFQ,2025-01-29,2025-01-29T17:34:59.024000+00:00,S2B_MSIL2A_20250129T173459_N0511_R055_T13RFQ_20250129T213024,50.133795,True,0.0,USA,"POLYGON Z ((-103.9455247432 31.63119262920001 0, -102.7882538335 31.6163885677 0, -102.8111066834 30.626390258 0, -103.9564283398 30.6406301409 0, -103.9455247432 31.63119262920001 0))",True,False,False,True
13RGQ,2018-09-30,2018-09-30T17:21:19.024000+00:00,S2B_MSIL2A_20180930T172119_N0212_R012_T13RGQ_20201009T064440,5.007173,False,18.124,USA,"POLYGON Z ((-102.8919274231 31.6181426848 0, -101.7356815172 31.5938102557 0, -101.7693711895 30.6046720794 0, -102.9137110176 30.628077535 0, -102.8919274231 31.6181426848 0))",True,False,False,True
13RGQ,2019-05-13,2019-05-13T17:19:01.024000+00:00,S2A_MSIL2A_20190513T171901_N0212_R012_T13RGQ_20201006T133751,78.119607,False,18.274,USA,"POLYGON Z ((-102.8919274231 31.6181426848 0, -101.7356815172 31.5938102557 0, -101.7693711895 30.6046720794 0, -102.9137110176 30.628077535 0, -102.8919274231 31.6181426848 0))",True,False,False,True
13RGQ,2021-07-24,2021-07-24T17:29:01.024000+00:00,S2A_MSIL2A_20210724T172901_N0300_R055_T13RGQ_20210725T080815,0.5748,True,26.143,USA,"POLYGON Z ((-102.8919274231 31.6181426848 0, -101.7356815172 31.5938102557 0, -101.7693711895 30.6046720794 0, -102.9137110176 30.628077535 0, -102.8919274231 31.6181426848 0))",True,False,False,True
13RGQ,2023-09-24,2023-09-24T17:19:39.024000+00:00,S2B_MSIL2A_20230924T171939_N0509_R012_T13RGQ_20230925T001946,0.000419,False,31.692,USA,"POLYGON Z ((-102.8919274231 31.6181426848 0, -101.7356815172 31.5938102557 0, -101.7693711895 30.6046720794 0, -102.9137110176 30.628077535 0, -102.8919274231 31.6181426848 0))",True,False,False,True
13RGQ,2025-01-31,2025-01-31T17:26:11.025000+00:00,S2C_MSIL2A_20250131T172611_N0511_R012_T13RGQ_20250131T221856,0.002827,False,17.115,USA,"POLYGON Z ((-102.8919274231 31.6181426848 0, -101.7356815172 31.5938102557 0, -101.7693711895 30.6046720794 0, -102.9137110176 30.628077535 0, -102.8919274231 31.6181426848 0))",True,False,False,True
13SFR,2018-01-21,2018-01-21T17:36:31.026000+00:00,S2A_MSIL2A_20180121T173631_N0212_R055_T13SFR_20201014T073102,4.320566,False,0.0,USA,"POLYGON Z ((-103.9351201358 32.5328466262 0, -102.7664473221 32.5175186902 0, -102.7903481549 31.52767425620001 0, -103.9465240007 31.542427286 0, -103.9351201358 32.5328466262 0))",True,False,False,True
13SFR,2020-07-04,2020-07-04T17:28:59.024000+00:00,S2B_MSIL2A_20200704T172859_N0212_R055_T13SFR_20201027T081559,16.720934,False,0.0,USA,"POLYGON Z ((-103.9351201358 32.5328466262 0, -102.7664473221 32.5175186902 0, -102.7903481549 31.52767425620001 0, -103.9465240007 31.542427286 0, -103.9351201358 32.5328466262 0))",True,False,False,True
13SFR,2023-11-21,2023-11-21T17:36:31.024000+00:00,S2A_MSIL2A_20231121T173631_N0509_R055_T13SFR_20231122T000802,0.004214,False,0.0,USA,"POLYGON Z ((-103.9351201358 32.5328466262 0, -102.7664473221 32.5175186902 0, -102.7903481549 31.52767425620001 0, -103.9465240007 31.542427286 0, -103.9351201358 32.5328466262 0))",True,False,False,True
13SFR,2025-01-19,2025-01-19T17:35:49.024000+00:00,S2B_MSIL2A_20250119T173549_N0511_R055_T13SFR_20250119T213856,14.00291,False,0.0,USA,"POLYGON Z ((-103.9351201358 32.5328466262 0, -102.7664473221 32.5175186902 0, -102.7903481549 31.52767425620001 0, -103.9465240007 31.542427286 0, -103.9351201358 32.5328466262 0))",True,False,False,True
13SFR,2025-01-29,2025-01-29T17:34:59.024000+00:00,S2B_MSIL2A_20250129T173459_N0511_R055_T13SFR_20250129T213024,56.195027,True,0.0,USA,"POLYGON Z ((-103.9351201358 32.5328466262 0, -102.7664473221 32.5175186902 0, -102.7903481549 31.52767425620001 0, -103.9465240007 31.542427286 0, -103.9351201358 32.5328466262 0))",True,False,False,True
13SFT,2017-09-18,2017-09-18T17:29:49.027000+00:00,S2B_MSIL2A_20170918T172949_N0212_R055_T13SFT_20210202T055310,2.251555,False,0.0,USA,"POLYGON Z ((-103.9128515066 34.3368370866 0, -102.7197772708 34.3204291115 0, -102.7459076226 33.3309012795 0, -103.925319748 33.3467110196 0, -103.9128515066 34.3368370866 0))",True,False,False,True
13SFT,2018-06-20,2018-06-20T17:31:21.024000+00:00,S2A_MSIL2A_20180620T173121_N0212_R055_T13SFT_20201012T002000,52.164767,False,0.001,USA,"POLYGON Z ((-103.9128515066 34.3368370866 0, -102.7197772708 34.3204291115 0, -102.7459076226 33.3309012795 0, -103.925319748 33.3467110196 0, -103.9128515066 34.3368370866 0))",True,False,False,True
13SFT,2021-01-03,2021-01-03T17:47:29.024000+00:00,S2B_MSIL2A_20210103T174729_N0212_R098_T13SFT_20210131T102248,3.134072,False,85.505,USA,"POLYGON Z ((-103.9128515066 34.3368370866 0, -102.7197772708 34.3204291115 0, -102.7459076226 33.3309012795 0, -103.925319748 33.3467110196 0, -103.9128515066 34.3368370866 0))",True,False,False,True
